geneid	15948X1	15948X2	15948X3	15948X4	15948X5	15948X6	15948X7	15948X8	15948X9	15948X10
ENSMUSG00000000001	29	44	167	65	31	137	337	103	73	42
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	1	9	18	10	7	11	35	5	8	4
ENSMUSG00000000031	22	22	159	37	22	67	282	70	282	42
ENSMUSG00000000037	1	5	5	0	0	2	13	2	2	3
ENSMUSG00000000049	0	0	1	0	0	2	0	1	1	1
ENSMUSG00000000056	120	150	642	159	147	609	1186	341	278	176
ENSMUSG00000000058	48	86	353	67	66	185	657	168	124	104
ENSMUSG00000000078	117	218	975	228	243	527	906	354	225	230
ENSMUSG00000000085	35	36	166	54	46	103	215	102	43	49
ENSMUSG00000000088	132	200	843	191	135	514	1831	385	286	125
ENSMUSG00000000093	0	5	19	6	2	15	46	19	11	7
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	1	1	0	0	0	1	14	6	0	1
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0	2	8	1	1	3	26	13	5	1
ENSMUSG00000000127	48	88	294	96	55	181	403	162	111	76
ENSMUSG00000000131	54	59	202	82	54	117	284	127	81	67
ENSMUSG00000000134	8	10	48	13	11	29	90	38	16	9
ENSMUSG00000000142	10	7	17	5	20	52	18	9	25	7
ENSMUSG00000000148	6	5	17	5	2	13	53	12	10	3
ENSMUSG00000000149	71	93	346	102	48	248	728	234	128	56
ENSMUSG00000000154	0	0	0	0	0	0	2	3	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167	2	0	1	2	0	3	3	1	1	6
ENSMUSG00000000168	286	416	1586	442	371	940	2367	788	571	353
ENSMUSG00000000171	92	157	783	181	119	528	1466	384	292	127
ENSMUSG00000000182	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	2	0	4	4	32	4	4	0
ENSMUSG00000000184	192	257	756	226	167	448	1179	609	327	177
ENSMUSG00000000194	25	29	149	35	31	101	272	103	54	36
ENSMUSG00000000197	1	3	20	0	7	7	17	30	11	7
ENSMUSG00000000202	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000204	1	0	0	0	0	1	3	0	0	1
ENSMUSG00000000214	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223	0	1	2	3	0	2	16	13	2	1
ENSMUSG00000000244	1	0	4	0	1	3	7	3	1	1
ENSMUSG00000000247	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0	0	0	0	0
